Id,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,Miles,NumStops,Price,HazMat,Pickup
22174091,40.26,-87.35,39.81,-89.06,173.0,2,635.0,0,2021-02-08 11:00:00
22174205,34.0,-96.0,34.0,-96.0,19.0,2,125.0,0,2021-02-02 12:00:00
22174901,40.33,-82.89,41.18,-90.08,506.0,2,1000.0,0,2021-02-17 13:45:00
22174944,40.35,-82.66,41.44,-90.21,511.0,2,853.0,0,2021-02-18 13:45:00
22175004,40.25,-82.02,41.23,-90.67,504.0,2,900.0,0,2021-02-19 13:45:00
22176366,40.43,-82.39,41.16,-90.63,513.0,2,856.0,0,2021-02-23 14:30:00
22176491,39.32,-89.76,42.29,-87.1,281.0,2,1850.0,0,2021-02-09 13:30:00
22176676,30.79,-95.49,33.49,-95.36,276.0,2,600.0,0,2021-02-01 14:30:00
22177258,40.0,-86.0,40.0,-86.0,1.0,2,375.0,1,2021-02-01 14:00:00
22177430,40.0,-86.0,40.0,-86.0,1.0,2,175.0,1,2021-02-01 14:15:00
22177942,33.14,-96.51,33.74,-96.04,45.0,2,350.0,0,2021-02-04 14:45:00
22178126,33.0,-97.0,33.0,-97.0,17.0,2,384.0,1,2021-02-04 14:00:00
22178208,32.1,-105.6,41.76,-80.98,1715.0,2,3225.0,0,2021-02-02 14:00:00
22178426,33.38,-96.18,26.44,-97.9,509.0,2,900.0,0,2021-01-31 15:15:00
22178464,33.14,-96.18,30.31,-94.3,244.0,2,600.0,0,2021-02-08 15:15:00
22179046,41.15,-84.1,42.77,-88.0,174.0,2,650.0,0,2021-02-03 15:45:00
22179259,41.06,-82.43,28.42,-99.4,1566.0,2,2400.0,0,2021-02-02 15:00:00
22179513,33.87,-96.55,32.88,-101.57,349.0,2,1251.0,0,2021-02-15 16:15:00
22179888,29.75,-94.47,33.97,-96.6,270.0,2,650.0,0,2021-02-01 15:45:00
22179956,38.21,-87.59,40.65,-85.48,160.0,3,700.0,0,2021-02-04 16:45:00
22179975,33.77,-96.13,30.31,-95.68,289.0,3,1100.0,0,2021-02-05 16:45:00
22180530,41.12,-80.58,42.67,-87.26,383.0,2,900.0,0,2021-02-02 17:45:00
22180587,41.3,-82.18,28.13,-99.05,1568.0,2,2032.0,0,2021-02-01 17:00:00
22181130,42.22,-87.77,42.4,-93.77,337.0,2,1600.0,0,2021-02-05 08:30:00
22181394,42.71,-87.09,40.51,-83.37,335.0,2,1500.0,0,2021-02-01 11:00:00
22181397,40.75,-82.34,40.3,-83.34,60.0,2,710.0,0,2021-02-01 11:00:00
22183289,30.42,-94.04,33.09,-96.64,260.0,2,450.0,0,2021-02-01 18:00:00
22183503,41.82,-84.15,42.23,-88.17,233.0,2,1250.0,0,2021-02-08 02:00:00
22183622,33.13,-95.48,33.8,-96.15,49.0,2,350.0,0,2021-02-08 03:30:00
22183635,30.89,-95.47,33.2,-96.71,265.0,2,750.0,0,2021-02-19 03:30:00
22183671,28.53,-99.09,30.99,-94.86,326.0,2,1150.0,0,2021-02-02 04:00:00
22184035,40.13,-85.47,41.27,-87.11,180.0,2,700.0,0,2021-02-05 06:45:00
22184173,33.47,-96.88,30.28,-94.5,281.0,2,956.0,0,2021-02-07 07:00:00
22185101,42.26,-87.84,40.27,-82.6,353.0,2,1200.0,0,2021-02-05 08:00:00
22185215,39.42,-85.17,41.81,-83.59,224.0,2,975.0,0,2021-02-01 08:15:00
22185480,41.96,-86.12,41.78,-80.68,315.0,2,1400.0,0,2021-02-01 08:30:00
22185600,42.3,-87.75,42.01,-91.65,273.0,2,1300.0,0,2021-02-05 08:30:00
22185608,42.14,-87.67,42.6,-91.35,272.0,2,1504.0,0,2021-02-05 08:30:00
22186089,31.0,-95.0,31.0,-95.0,20.0,2,510.0,0,2021-02-04 09:00:00
22186091,31.0,-95.0,31.0,-95.0,15.0,2,611.0,0,2021-02-04 09:00:00
22186525,33.21,-96.27,30.6,-95.42,251.0,2,500.0,0,2021-02-04 10:15:00
22186593,33.71,-96.07,30.25,-94.15,242.0,2,625.0,0,2021-02-02 10:30:00
22186671,33.37,-96.68,30.53,-94.78,241.0,2,525.0,0,2021-02-03 10:30:00
22186694,33.57,-96.45,30.56,-94.52,240.0,2,525.0,0,2021-02-04 10:30:00
22186959,33.53,-96.67,29.53,-97.28,295.0,3,800.0,0,2021-02-02 09:45:00
22187029,40.56,-86.12,39.26,-83.08,154.0,2,800.0,0,2021-02-02 09:45:00
22187130,41.51,-84.15,30.9,-94.2,1164.0,2,2400.0,0,2021-02-19 10:45:00
22187156,31.45,-98.7,33.38,-96.65,206.0,2,1000.0,0,2021-02-03 09:45:00
22187336,42.36,-88.61,42.53,-87.01,86.0,2,550.0,0,2021-02-01 09:00:00
22187531,33.38,-96.91,41.83,-81.16,1123.0,2,2900.0,0,2021-02-02 09:00:00
22187565,33.49,-96.89,34.98,-101.58,351.0,4,1245.0,1,2021-01-31 09:00:00
22187627,33.67,-96.87,30.27,-94.46,272.0,2,650.0,0,2021-02-01 10:00:00
22187909,33.02,-96.21,30.39,-94.53,294.0,2,450.0,0,2021-02-03 10:15:00
22187910,33.48,-96.91,31.08,-95.44,215.0,2,525.0,0,2021-02-15 10:15:00
22187911,33.35,-96.23,30.9,-94.72,281.0,2,733.0,0,2021-02-03 10:15:00
22187990,33.89,-96.23,32.13,-96.91,68.0,2,340.0,0,2021-02-22 10:30:00
22188129,41.12,-84.91,29.26,-97.22,1322.0,2,2500.0,0,2021-02-19 11:30:00
22188418,41.45,-84.71,40.67,-85.8,130.0,2,657.0,0,2021-02-09 10:45:00
22188604,42.77,-87.65,40.82,-85.59,176.0,2,1000.0,0,2021-02-01 10:45:00
22188945,39.03,-85.65,39.69,-82.03,238.0,2,1500.0,0,2021-02-01 10:00:00
22189156,41.66,-84.02,41.31,-84.91,27.0,2,1076.0,0,2021-02-02 11:00:00
22189654,42.37,-88.3,39.92,-86.71,254.0,2,1100.0,0,2021-02-02 11:30:00
22189667,41.04,-84.91,31.1,-96.61,1175.0,2,2100.0,0,2021-02-19 12:30:00
22189757,40.93,-85.87,33.48,-96.0,956.0,2,2400.0,0,2021-02-08 12:45:00
22189958,42.9,-88.23,33.31,-96.41,930.0,2,2500.0,0,2021-02-01 11:45:00
22190164,42.06,-88.18,40.64,-85.7,238.0,2,2050.0,0,2021-02-01 12:00:00
22190414,33.77,-96.11,33.08,-96.12,28.0,2,150.0,0,2021-02-03 12:00:00
22190417,33.5,-96.64,33.55,-96.6,28.0,2,225.0,0,2021-02-03 12:00:00
22190914,42.64,-87.03,33.98,-96.37,898.0,2,2250.0,0,2021-02-01 12:30:00
22190955,42.24,-87.37,38.77,-88.08,260.0,2,1300.0,0,2021-02-04 12:30:00
22190968,42.56,-87.78,38.9,-88.55,256.0,2,1032.0,0,2021-02-01 12:30:00
22191325,42.15,-87.93,32.17,-96.59,986.0,2,2200.0,0,2021-02-03 12:45:00
22191336,40.09,-85.67,39.35,-85.83,69.0,2,500.0,0,2021-02-01 12:45:00
22191753,26.43,-97.18,41.47,-83.79,1643.0,3,5300.0,0,2021-02-02 14:00:00
22191982,33.45,-96.88,30.4,-94.81,248.0,2,750.0,1,2021-02-05 13:15:00
22192031,30.35,-97.68,30.0,-97.69,31.0,2,300.0,0,2021-02-04 13:30:00
22192037,30.8,-97.34,35.04,-101.07,521.0,2,1425.0,0,2021-02-06 13:30:00
22192097,33.59,-96.98,32.17,-101.44,342.0,2,822.0,0,2021-02-01 13:30:00
22192209,33.11,-96.38,28.11,-99.81,425.0,2,500.0,0,2021-02-18 13:30:00
